Distance_deg,Density_Type,Predictor,Beta,SE,P_value,CI_Lower_95,CI_Upper_95,R2,Adj_R2,F_pvalue,N
1.5,Angular,Intercept,97.50641078323133,2336.9311367619603,0.9668485171157637,-4571.050221224492,4766.063042790955,0.547668155304907,0.505262044864742,1.6685611788538604e-09,71
2.0,Linear,Axial length (mm),-1326.7716294835955,536.0798623644043,0.015984848633234926,-2397.714267611513,-255.82899135567777,0.2942096056582997,0.22804175618876532,0.0008067260462381744,71
2.0,Linear,Age,27.31664627232103,105.56274622213252,0.7966418876748357,-183.56918224684605,238.20247479148813,0.2942096056582997,0.22804175618876532,0.0008067260462381744,71
2.0,Linear,Spherical equivalent refraction (D),-236.1535260979232,253.77934209015567,0.3555849733497466,-743.1360434446613,270.82899124881493,0.2942096056582997,0.22804175618876532,0.0008067260462381744,71
2.0,Linear,Gender,3127.6811573245977,1319.8873878486902,0.020831062498451135,490.9029822593516,5764.459332389844,0.2942096056582997,0.22804175618876532,0.0008067260462381744,71
2.0,Linear,Corneal curvature (mm),-1916.8707757566685,1785.3282897046363,0.28699783424299447,-5483.474042791909,1649.7324912785716,0.2942096056582997,0.22804175618876532,0.0008067260462381744,71
2.0,Linear,Anterior chamber depth (mm),4403.903651375779,1188.1801443362401,0.0004410063666472563,2030.240942363796,6777.566360387762,0.2942096056582997,0.22804175618876532,0.0008067260462381744,71
2.0,Linear,Intercept,64788.53958504014,23084.984372207688,0.006628178856948324,18670.98173522034,110906.09743485994,0.2942096056582997,0.22804175618876532,0.0008067260462381744,71
2.0,Angular,Axial length (mm),205.01618472944438,50.01687968190283,0.00011920564785032395,105.09598097246702,304.9363884864217,0.501213096821381,0.4544518246483855,3.224374117320643e-08,71
2.0,Angular,Age,3.87671822960748,9.849127988871516,0.6951770568933107,-15.799176822931525,23.552613282146485,0.501213096821381,0.4544518246483855,3.224374117320643e-08,71
2.0,Angular,Spherical equivalent refraction (D),-30.762315475197795,23.67791015892972,0.19853660599081946,-78.06437875196184,16.539747801566257,0.501213096821381,0.4544518246483855,3.224374117320643e-08,71
2.0,Angular,Gender,298.59703795244275,123.14704077955766,0.018153778809291986,52.582542745650244,544.6115331592353,0.501213096821381,0.4544518246483855,3.224374117320643e-08,71
2.0,Angular,Corneal curvature (mm),-417.50050182527156,166.5732226258373,0.014748240335641455,-750.2687682801695,-84.73223537037353,0.501213096821381,0.4544518246483855,3.224374117320643e-08,71
2.0,Angular,Anterior chamber depth (mm),300.4340014828485,110.85860054055584,0.008623804719996311,78.9684877468207,521.8995152188763,0.501213096821381,0.4544518246483855,3.224374117320643e-08,71
2.0,Angular,Intercept,34.194195825660245,2153.8561077648624,0.9873828621499952,-4268.628021789489,4337.01641344081,0.501213096821381,0.4544518246483855,3.224374117320643e-08,71
2.5,Linear,Axial length (mm),-913.7999120738334,511.32137541611075,0.07865111996654024,-1935.2817866291075,107.68196248144068,0.25722704972418275,0.18759208563582486,0.0032545453387452824,71
2.5,Linear,Age,-27.763562560030266,100.68740197204377,0.7836360139571565,-228.90977129578783,173.3826461757273,0.25722704972418275,0.18759208563582486,0.0032545453387452824,71
2.5,Linear,Spherical equivalent refraction (D),17.361585485393846,242.05871430687455,0.9430446815015301,-466.2062861714638,500.92945714225147,0.25722704972418275,0.18759208563582486,0.0032545453387452824,71
2.5,Linear,Gender,2457.7327883864714,1258.9292788812327,0.05528709302309154,-57.26756472335546,4972.733141496298,0.25722704972418275,0.18759208563582486,0.0032545453387452824,71
2.5,Linear,Corneal curvature (mm),-2487.7652289671287,1702.8741065459617,0.1489293354264953,-5889.647329183743,914.116871249485,0.25722704972418275,0.18759208563582486,0.0032545453387452824,71
2.5,Linear,Anterior chamber depth (mm),4403.674645361885,1133.3048455961914,0.0002446981000226488,2139.63794793244,6667.71134279133,0.25722704972418275,0.18759208563582486,0.0032545453387452824,71
2.5,Linear,Intercept,57011.282234458115,22018.81993588654,0.011895262993125006,13023.632695455985,100998.93177346024,0.25722704972418275,0.18759208563582486,0.0032545453387452824,71
